web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892981-3591","https://www.planespotters.net/airline/United-Airlines?p=6","N35260","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0260","16.8 Years"
"1519892978-3544","https://www.planespotters.net/airline/United-Airlines?p=7","N77296","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0296","12.5 Years"
"1519892976-3520","https://www.planespotters.net/airline/United-Airlines?p=8","N39475","Boeing 737-924(ER)(WL)","C20Y159","03. Jun 2013","0475","4.8 Years"
"1519892976-3480","https://www.planespotters.net/airline/United-Airlines?p=8","N36469","Boeing 737-924(ER)(WL)","C20Y159","11. Mar 2013","0469","5.0 Years"
"1519892976-3501","https://www.planespotters.net/airline/United-Airlines?p=8","N38403","Boeing 737-924(WL)","C20Y159","01. Oct 2010","0403","16.7 Years"
"1519892963-3221","https://www.planespotters.net/airline/United-Airlines?p=13","N76065","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0065","15.9 Years"
"1519892988-3754","https://www.planespotters.net/airline/United-Airlines?p=3","N447UA","Airbus A320-232","C12Y138","06. Jan 2009
(01. Jul 1998)","4247","19.8 Years"
"1519892963-3213","https://www.planespotters.net/airline/United-Airlines?p=13","N67058","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0058","16.1 Years"
"1519892963-3225","https://www.planespotters.net/airline/United-Airlines?p=13","N206UA","Boeing 777-222(ER)","F8C40Y221","18. May 1999","2706","18.8 Years"
"1519892988-3775","https://www.planespotters.net/airline/United-Airlines?p=3","N469UA","Airbus A320-232","C12Y138","06. Jan 2009
(01. Mar 2001)","4269","17.1 Years"
"1519892981-3622","https://www.planespotters.net/airline/United-Airlines?p=6","N73291","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0291","13.3 Years"
"1519892958-3150","https://www.planespotters.net/airline/United-Airlines?p=15","N29961","Boeing 787-9 Dreamliner","C48Y204","24. Nov 2015","0961","2.3 Years"
"1519892985-3726","https://www.planespotters.net/airline/United-Airlines?p=4","N23721","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0721","19.0 Years"
"1519892960-3173","https://www.planespotters.net/airline/United-Airlines?p=14","N78013","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0013","18.5 Years"
"1519892960-3184","https://www.planespotters.net/airline/United-Airlines?p=14","N79011","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0011","18.7 Years"
"1519892963-3257","https://www.planespotters.net/airline/United-Airlines?p=13","N77012","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0012","18.6 Years"
