web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Age,Models
1519892619-2998,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N327DN,Airbus A321-211(WL),C20W29Y143,02. Oct 2017,0.5 Years,A320
1519892589-2349,https://www.planespotters.net/airline/Delta-Air-Lines?p=15,N944DL,McDonnell Douglas MD-88,C16W15Y118,12. Aug 1989,28.7 Years,MD80
1519892584-2259,https://www.planespotters.net/airline/Delta-Air-Lines?p=17,N952DN,McDonnell Douglas MD-90-30,C16W15Y129,19. Nov 2012,19.8 Years,MD90
1519892607-2700,https://www.planespotters.net/airline/Delta-Air-Lines?p=8,N383DN,Boeing 737-832(WL),C16W18Y126,19. Oct 1999,18.4 Years,737
1519892596-2510,https://www.planespotters.net/airline/Delta-Air-Lines?p=12,N590NW,Boeing 757-351(WL),C24W26Y184,29. Oct 2008,15.0 Years,757
1519892599-2535,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N667DN,Boeing 757-232(WL),C24W20Y136,27. Mar 1991,27.0 Years,757
1519892596-2527,https://www.planespotters.net/airline/Delta-Air-Lines?p=12,N1603,Boeing 767-332(ER)(WL),C36W32Y143,05. Feb 1999,19.1 Years,767
1519892612-2800,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N953AT,Boeing 717-2BD,C12W15Y83,05. Jan 2014,17.6 Years,717
1519892594-2476,https://www.planespotters.net/airline/Delta-Air-Lines?p=13,N831MH,Boeing 767-432(ER),C40W28Y178,20. Sep 2000,17.5 Years,767
1519892624-3065,https://www.planespotters.net/airline/Delta-Air-Lines?p=1,N301NB,Airbus A319-114,C12W18Y96,29. Oct 2008,18.6 Years,A320
1519892612-2838,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N992AT,Boeing 717-2BD,C12W15Y83,06. Jan 2016,16.1 Years,717
1519892591-2377,https://www.planespotters.net/airline/Delta-Air-Lines?p=14,N838MH,Boeing 767-432(ER),C40W28Y178,10. Jan 2001,17.2 Years,767
1519892607-2697,https://www.planespotters.net/airline/Delta-Air-Lines?p=8,N380DA,Boeing 737-832(WL),C16W18Y126,20. Sep 1999,18.5 Years,737
1519892596-2494,https://www.planespotters.net/airline/Delta-Air-Lines?p=12,N727TW,Boeing 757-231(WL),C16W44Y108,14. Mar 2008,18.3 Years,757
1519892604-2654,https://www.planespotters.net/airline/Delta-Air-Lines?p=9,N841DN,Boeing 737-932(ER)(WL),C20W21Y139,18. Jun 2015,2.7 Years,737
1519892602-2621,https://www.planespotters.net/airline/Delta-Air-Lines?p=10,N554NW,Boeing 757-251(WL),C20W29Y150,29. Oct 2008,16.4 Years,757
1519892622-3039,https://www.planespotters.net/airline/Delta-Air-Lines?p=2,N339NW,Airbus A320-212,C12W18Y120,29. Oct 2008,25.5 Years,A320
1519892612-2808,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N961AT,Boeing 717-2BD,C12W15Y83,03. Jun 2014,16.9 Years,717
1519892589-2324,https://www.planespotters.net/airline/Delta-Air-Lines?p=15,N916DL,McDonnell Douglas MD-88,C16W15Y118,31. Mar 1988,30.1 Years,MD80
1519892591-2404,https://www.planespotters.net/airline/Delta-Air-Lines?p=14,N901DE,McDonnell Douglas MD-88,C16W15Y118,03. Apr 1992,26.0 Years,MD80
1519892607-2702,https://www.planespotters.net/airline/Delta-Air-Lines?p=8,N385DN,Boeing 737-832(WL),C16W18Y126,19. Nov 1999,18.4 Years,737
1519892599-2575,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N690DL,Boeing 757-232(WL),C20W29Y150,26. Jun 1998,19.7 Years,757
1519892612-2819,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N974AT,Boeing 717-2BD,C12W15Y83,05. Mar 2015,16.2 Years,717
1519892602-2635,https://www.planespotters.net/airline/Delta-Air-Lines?p=10,N661DN,Boeing 757-232,F72,23. Dec 1990,27.2 Years,757
1519892619-2967,https://www.planespotters.net/airline/Delta-Air-Lines?p=3,N374NW,Airbus A320-212,C12W18Y120,29. Oct 2008,16.3 Years,A320
